key,title,authors,year,journal,publisher,citations,url,tool
tanyalcin2017indoril,Indoril: An I-PV Add-On For Visualization Of Point Mutations On 3D Cartesian Coordinates,"Tanyalcin, Ibrahim and Ferte, Julien and Khan, Taushif and Al Assaf, Carla",2017,BioRxiv,Cold Spring Harbor Laboratory,1,https://www.biorxiv.org/content/early/2017/06/09/148122.abstract,I-PV
tanyalcin2015pv,I-pv: a circos module for interactive protein sequence visualization,"Tanyalcin, Ibrahim and Al Assaf, Carla and Gheldof, Alexander and Stouffs, Katrien and Lissens, Willy and Jansen, Anna C",2015,Bioinformatics,Oxford University Press,3,https://academic.oup.com/bioinformatics/article-abstract/32/3/447/1743584,I-PV
yin2012ggbio,ggbio: an R package for extending the grammar of graphics for genomic data,"Yin, Tengfei and Cook, Dianne and Lawrence, Michael",2012,Genome biology,BioMed Central,123,https://genomebiology.biomedcentral.com/articles/10.1186/gb-2012-13-8-r77,ggbio
cui2016biocircos,BioCircos. js: an interactive Circos JavaScript library for biological data visualization on web applications,"Cui, Ya and Chen, Xiaowei and Luo, Huaxia and Fan, Zhen and Luo, Jianjun and He, Shunmin and Yue, Haiyan and Zhang, Peng and Chen, Runsheng",2016,Bioinformatics,Oxford University Press,11,https://academic.oup.com/bioinformatics/article-abstract/32/11/1740/1742852,BioCircos.js
darzentas2010circoletto,Circoletto: visualizing sequence similarity with Circos.,"Darzentas, Nikos",2010,Bioinformatics,,93,http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=13674803&asa=Y&AN=54400363&h=Q2RWjzlCxpWf3uCcegV2pK7KLMMH5bPAM9zTjhFTqOCb6UhaSV7uyN5sztJ%2BnBdIZr7z6V3DWxXz1kgSavvrOw%3D%3D&crl=c,Circoletto
cheong2015clico,ClicO FS: an interactive web-based service of Circos,"Cheong, Wei-Hien and Tan, Yung-Chie and Yap, Soon-Joo and Ng, Kee-Peng",2015,Bioinformatics,Oxford University Press,22,https://academic.oup.com/bioinformatics/article-abstract/31/22/3685/241292,ClicO FS
an2014j,J-Circos: an interactive Circos plotter,"An, Jiyuan and Lai, John and Sajjanhar, Atul and Batra, Jyotsna and Wang, Chenwei and Nelson, Colleen C",2014,Bioinformatics,Oxford University Press,20,https://academic.oup.com/bioinformatics/article-abstract/31/9/1463/200441,J-Circos
drori2017circosvcf,CircosVCF: circos visualization of whole-genome sequence variations stored in VCF files,"Drori, E and Levy, D and Smirin-Yosef, P and Rahimi, O and Salmon-Divon, M",2017,Bioinformatics,Oxford University Press,1,https://academic.oup.com/bioinformatics/article-abstract/33/9/1392/2832782,CircosVCF
jhuraney2015brca1,BRCA1 Circos: a visualisation resource for functional analysis of missense variants,"Jhuraney, Ankita and Velkova, Aneliya and Johnson, Randall C and Kessing, Bailey and Carvalho, Renato S and Whiley, Phillip and Spurdle, Amanda B and Vreeswijk, Maaike PG and Caputo, Sandrine M and Millot, Gael A and others",2015,Journal of medical genetics,BMJ Publishing Group Ltd,19,http://jmg.bmj.com/content/52/4/224.short,BRCA1 Circos
labelle2016mycircos,myCircos: Facilitating the Creation and Use of Circos Plots Online,"Labelle, Caroline and Boucher, Genevi{\`e}ve and Lemieux, S{\'e}bastien",2016,bioRxiv,Cold Spring Harbor Laboratory,0,https://www.biorxiv.org/content/early/2016/05/10/052605.abstract,myCircos
diaz2017sofia,SOFIA: an R package for enhancing genetic visualization with Circos,"Diaz-Garcia, Luis and Covarrubias-Pazaran, Giovanny and Schlautman, Brandon and Zalapa, Juan",2017,Journal of Heredity,Oxford University Press US,1,https://academic.oup.com/jhered/article/3192401,SOFIA
zhang2013rcircos,RCircos: an R package for Circos 2D track plots,"Zhang, Hongen and Meltzer, Paul and Davis, Sean",2013,BMC bioinformatics,BioMed Central,127,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-14-244,RCircos
jha2017cgdv,CGDV: a webtool for circular visualization of genomics and transcriptomics data,"Jha, Vineet and Singh, Gulzar and Kumar, Shiva and Sonawane, Amol and Jere, Abhay and Anamika, Krishanpal",2017,BMC genomics,BioMed Central,0,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-017-4169-5,CGDV
hu2014omiccircos,OmicCircos: a simple-to-use R package for the circular visualization of multidimensional omics data,"Hu, Ying and Yan, Chunhua and Hsu, Chih-Hao and Chen, Qing-Rong and Niu, Kelvin and Komatsoulis, George A and Meerzaman, Daoud",2014,Cancer informatics,"SAGE Publications Sage UK: London, England",51,http://journals.sagepub.com/doi/abs/10.4137/CIN.S13495,OmicCircos
naquin2014circus,CIRCUS: a package for Circos display of structural genome variations from paired-end and mate-pair sequencing data,"Naquin, Delphine and d’Aubenton-Carafa, Yves and Thermes, Claude and Silvain, Maud",2014,BMC bioinformatics,BioMed Central,14,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-15-198,CIRCUS
barson2016seqtools,SeqTools: visual tools for manual analysis of sequence alignments,"Barson, Gemma and Griffiths, Ed",2016,BMC research notes,BioMed Central,2,https://bmcresnotes.biomedcentral.com/articles/10.1186/s13104-016-1847-3,Dotter
sonnhammer1995dot,A dot-matrix program with dynamic threshold control suited for genomic DNA and protein sequence analysis,"Sonnhammer, Erik LL and Durbin, Richard",1995,Gene,Elsevier,711,https://www.sciencedirect.com/science/article/pii/0378111995007148,Dotter
krumsiek2007gepard,Gepard: a rapid and sensitive tool for creating dotplots on genome scale,"Krumsiek, Jan and Arnold, Roland and Rattei, Thomas",2007,Bioinformatics,Oxford University Press,303,https://academic.oup.com/bioinformatics/article-abstract/23/8/1026/198110,Gepard
seibt2018flexidot,"FlexiDot: highly customizable, ambiguity-aware dotplots for visual sequence analyses","Seibt, Kathrin M and Schmidt, Thomas and Heitkam, Tony and Hancock, John",2018,Bioinformatics,,0,https://academic.oup.com/bioinformatics/advance-article-pdf/doi/10.1093/bioinformatics/bty395/25005482/bty395.pdf?guestAccessKey=fa3a903b-75a7-49a6-8b59-81ac5100bf5a,FlexiDot
cabanettes2018d,"D-GENIES: dot plot large genomes in an interactive, efficient and simple way","Cabanettes, Flor{\'e}al and Klopp, Christophe",2018,PeerJ,PeerJ Inc.,1,https://peerj.com/articles/4958,D-Genies
barson2016seqtools,SeqTools: visual tools for manual analysis of sequence alignments,"Barson, Gemma and Griffiths, Ed",2016,BMC research notes,BioMed Central,2,https://bmcresnotes.biomedcentral.com/articles/10.1186/s13104-016-1847-3,SeqTools
junier2000dotlet,Dotlet: diagonal plots in a web browser,"Junier, Thomas and Pagni, Marco",2000,Bioinformatics,Oxford University Press,94,https://academic.oup.com/bioinformatics/article-abstract/16/2/178/232113,Dotlet
wang2017webmev,WebMeV: a cloud platform for analyzing and visualizing cancer genomic data,"Wang, Yaoyu E and Kutnetsov, Lev and Partensky, Antony and Farid, Jalil and Quackenbush, John",2017,Cancer research,AACR,3,http://cancerres.aacrjournals.org/content/77/21/e11.short,MeV
gu2016complex,Complex heatmaps reveal patterns and correlations in multidimensional genomic data,"Gu, Zuguang and Eils, Roland and Schlesner, Matthias",2016,Bioinformatics,Oxford University Press,132,https://academic.oup.com/bioinformatics/article-abstract/32/18/2847/1743594,Complex heatmaps
ramirez2014deeptools,deepTools: a flexible platform for exploring deep-sequencing data,"Ram{\'\i}rez, Fidel and D{\""u}ndar, Friederike and Diehl, Sarah and Gr{\""u}ning, Bj{\""o}rn A and Manke, Thomas",2014,Nucleic acids research,Oxford University Press,322,https://academic.oup.com/nar/article-abstract/42/W1/W187/2435511,deepTools
deng2014hemi,HemI: a toolkit for illustrating heatmaps,"Deng, Wankun and Wang, Yongbo and Liu, Zexian and Cheng, Han and Xue, Yu",2014,PloS one,Public Library of Science,283,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0111988,HemI
watkins2009haematlas,A HaemAtlas: characterising gene expression in differentiated human blood cells,"Watkins, Nicholas A and Gusnanto, Arief and de Bono, Bernard and De, Subhajyoti and Miranda-Saavedra, Diego and Hardie, Debbie L and Angenent, Will GJ and Attwood, Antony P and Ellis, Peter D and Erber, Wendy and others",2009,Blood,Am Soc Hematology,211,http://www.bloodjournal.org/content/early/2009/02/19/blood-2008-06-162958.short,HaemAtlas
wu2018covariate,Covariate-adjusted heatmaps for visualizing biological data via correlation decomposition,"Wu, Han-Ming and Tien, Yin-Jing and Ho, Meng-Ru and Hwu, Hai-Gwo and Lin, Wen-chang and Tao, Mi-Hua and Chen, Chun-Houh",2018,Bioinformatics,Oxford University Press,0,https://academic.oup.com/bioinformatics/advance-article-pdf/doi/10.1093/bioinformatics/bty335/25005672/bty335.pdf,GAP
wu2010gap,GAP: A graphical environment for matrix visualization and cluster analysis,"Wu, Han-Ming and Tien, Yin-Jing and Chen, Chun-houh",2010,Computational Statistics \& Data Analysis,Elsevier,93,https://www.sciencedirect.com/science/article/pii/S0167947308004349,GAP
babicki2016heatmapper,Heatmapper: web-enabled heat mapping for all,"Babicki, Sasha and Arndt, David and Marcu, Ana and Liang, Yongjie and Grant, Jason R and Maciejewski, Adam and Wishart, David S",2016,Nucleic acids research,Oxford University Press,68,https://academic.oup.com/nar/article-abstract/44/W1/W147/2499381,Heatmapper
dale2014metaseq,metaseq: a Python package for integrative genome-wide analysis reveals relationships between chromatin insulators and associated nuclear mRNA,"Dale, Ryan K and Matzat, Leah H and Lei, Elissa P",2014,Nucleic acids research,Oxford University Press,14,https://academic.oup.com/nar/article-abstract/42/14/9158/1290161,metaseq
caraux2004permutmatrix,PermutMatrix: a graphical environment to arrange gene expression profiles in optimal linear order,"Caraux, Gilles and Pinloche, Sylvie",2004,Bioinformatics,Oxford University Press,462,https://academic.oup.com/bioinformatics/article-abstract/21/7/1280/269055,PermutMatrix
devailly2016heat,Heat* seq: an interactive web tool for high-throughput sequencing experiment comparison with public data,"Devailly, Guillaume and Mantsoki, Anna and Joshi, Anagha",2016,Bioinformatics,Oxford University Press,2,https://academic.oup.com/bioinformatics/article-abstract/32/21/3354/2415180,Heat*seq
galili2017heatmaply,heatmaply: an R package for creating interactive cluster heatmaps for online publishing,"Galili, Tal and O’callaghan, Alan and Sidi, Jonathan and Sievert, Carson",2017,Bioinformatics,Oxford University Press,4,https://academic.oup.com/bioinformatics/article-abstract/34/9/1600/4562328,Heatmaply
fernandez2017clustergrammer,"Clustergrammer, a web-based heatmap visualization and analysis tool for high-dimensional biological data","Fernandez, Nicolas F and Gundersen, Gregory W and Rahman, Adeeb and Grimes, Mark L and Rikova, Klarisa and Hornbeck, Peter and Ma’ayan, Avi",2017,Scientific data,Nature Publishing Group,9,https://www.nature.com/articles/sdata2017151,Clustergrammer
gerber2007automated,Automated discovery of functional generality of human gene expression programs,"Gerber, Georg K and Dowell, Robin D and Jaakkola, Tommi S and Gifford, David K",2007,PLoS computational biology,Public Library of Science,34,http://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.0030148,GeneProgram
vskuta2014inchlib,InCHlib--interactive cluster heatmap for web applications,"{\v{S}}kuta, Ctibor and Bart{\uu}n{\v{e}}k, Petr and Svozil, Daniel",2014,Journal of cheminformatics,Nature Publishing Group,26,https://jcheminf.springeropen.com/articles/10.1186/s13321-014-0044-4,InCHlib
marchese2017comparison,Comparison of the predictive performance and interpretability of random forest and linear models on benchmark data sets,"Marchese Robinson, Richard L and Palczewska, Anna and Palczewski, Jan and Kidley, Nathan",2017,Journal of chemical information and modeling,ACS Publications,3,https://pubs.acs.org/doi/abs/10.1021/acs.jcim.6b00753,HeatMapWrapper
de2015t,T-REx: transcriptome analysis webserver for RNA-seq expression data,"de Jong, Anne and van der Meulen, Sjoerd and Kuipers, Oscar P and Kok, Jan",2015,BMC genomics,BioMed Central,18,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-015-1834-4,T-REx
gu2018enrichedheatmap,EnrichedHeatmap: an R/Bioconductor package for comprehensive visualization of genomic signal associations,"Gu, Zuguang and Eils, Roland and Schlesner, Matthias and Ishaque, Naveed",2018,BMC genomics,BioMed Central,1,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-018-4625-x,EnrichedHeatmap
perez2011gitools,Gitools: analysis and visualisation of genomic data using interactive heat-maps,"Perez-Llamas, Christian and Lopez-Bigas, Nuria",2011,PloS one,Public Library of Science,163,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0019541,Gitools
minguet2015morpheus,"MORPHEUS, a webtool for transcription factor binding analysis using position weight matrices with dependency","Minguet, Eugenio G{\'o}mez and Segard, St{\'e}phane and Charavay, C{\'e}line and Parcy, Fran{\c{c}}ois",2015,PloS one,Public Library of Science,9,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0135586,Morpheus
joachimiak2006jcolorgrid,JColorGrid: software for the visualization of biological measurements,"Joachimiak, Marcin P and Weisman, Jennifer L and May, Barnaby CH",2006,BMC bioinformatics,BioMed Central,88,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-7-225,JColorGrid
sun2013pairheatmap,Pairheatmap: comparing expression profiles of gene groups in heatmaps,"Sun, Xiaoyong and Li, Jun",2013,Computer methods and programs in biomedicine,Elsevier,4,https://www.sciencedirect.com/science/article/pii/S0169260713002459,pairheatmap
verhaak2006heatmapper,"HeatMapper: powerful combined visualization of gene expression profile correlations, genotypes, phenotypes and sample characteristics","Verhaak, Roel GW and Sanders, Mathijs A and Bijl, Maarten A and Delwel, Ruud and Horsman, Sebastiaan and Moorhouse, Michael J and van der Spek, Peter J and L{\""o}wenberg, Bob and Valk, Peter JM",2006,BMC bioinformatics,BioMed Central,19,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-7-337,HeatMapper
lopez2017savant,SaVanT: a web-based tool for the sample-level visualization of molecular signatures in gene expression profiles,"Lopez, David and Montoya, Dennis and Ambrose, Michael and Lam, Larry and Briscoe, Leah and Adams, Claire and Modlin, Robert L and Pellegrini, Matteo",2017,BMC genomics,BioMed Central,0,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-017-4167-7,SaVanT
tarek2017afcmheatmap,AFCMHeatMap: A shiny web tool for heatmap generation of genetic expression datasets using R packages,"Tarek, Mohammad and Shafei, Ayman S and Ali, Mahmoud A",2017,,,1,https://peerj.com/preprints/2961/,AFCMHeatMap
meyer2010pathline,Pathline: A tool for comparative functional genomics,"Meyer, Miriah and Wong, Bang and Styczynski, Mark and Munzner, Tamara and Pfister, Hanspeter",2010,,,71,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8659.2009.01710.x,Pathline
khomtchouk2014heatmapgenerator,HeatmapGenerator: high performance RNAseq and microarray visualization software suite to examine differential gene expression levels using an R and C++ hybrid computational pipeline,"Khomtchouk, Bohdan B and Van Booven, Derek J and Wahlestedt, Claes",2014,Source code for biology and medicine,BioMed Central,17,https://scfbm.biomedcentral.com/articles/10.1186/s13029-014-0030-2,HeatmapGenerator
yachdav2014heatmapviewer,HeatMapViewer: interactive display of 2D data in biology,"Yachdav, Guy and Hecht, Maximilian and Pasmanik-Chor, Metsada and Yeheskel, Adva and Rost, Burkhard",2014,F1000Research,Faculty of 1000 Ltd,13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4023661/,HeatMapViewer
legetth2018cellexalvr,CellexalVR: A virtual reality platform for the exploration and analysis of single-cell gene expression data,"Legetth, Oscar and Rodhe, Johan and P{\aa}lsson, Joel and Wallerg{\aa}rd, Mattias and Lang, Stefan and Soneji, Shamit",2018,bioRxiv,Cold Spring Harbor Laboratory,0,https://www.biorxiv.org/content/early/2018/05/24/329102.abstract,CellexalVR
hu2017biowheel,Biowheel: interactive visualization and exploration of biomedical data,"Hu, Chenyue and Bisberg, Alex J and Qutub, Amina A",2017,bioRxiv,Cold Spring Harbor Laboratory,0,https://www.biorxiv.org/content/early/2017/01/11/099739.abstract,Biowheel
khomtchouk2017shinyheatmap,shinyheatmap: Ultra fast low memory heatmap web interface for big data genomics,"Khomtchouk, Bohdan B and Hennessy, James R and Wahlestedt, Claes",2017,PloS one,Public Library of Science,7,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0176334,Shinyheatmap
dudchenko2018juicebox,The Juicebox Assembly Tools module facilitates de novo assembly of mammalian genomes with chromosome-length scaffolds for under $1000,"Dudchenko, Olga and Shamim, Muhammad S and Batra, Sanjit and Durand, Neva C and Musial, Nathaniel T and Mostofa, Ragib and Pham, Melanie and St Hilaire, Brian Glenn and Yao, Weijie and Stamenova, Elena and others",2018,bioRxiv,Cold Spring Harbor Laboratory,0,https://www.biorxiv.org/content/early/2018/01/28/254797.abstract,Juicebox
robinson2018juicebox,Juicebox. js provides a cloud-based visualization system for Hi-C data,"Robinson, James T and Turner, Douglass and Durand, Neva C and Thorvaldsd{\'o}ttir, Helga and Mesirov, Jill P and Aiden, Erez Lieberman",2018,Cell systems,Elsevier,3,https://www.sciencedirect.com/science/article/pii/S2405471218300012,Juicebox
durand2016juicebox,Juicebox provides a visualization system for Hi-C contact maps with unlimited zoom,"Durand, Neva C and Robinson, James T and Shamim, Muhammad S and Machol, Ido and Mesirov, Jill P and Lander, Eric S and Aiden, Erez Lieberman",2016,Cell systems,Elsevier,83,https://www.sciencedirect.com/science/article/pii/S240547121500054X,Juicebox
